log_filename,with_data,log_loading_and_parsing_ms,log_indexing_ms,n_traces,n_acts,log_trace_average_length,log_trace_variance,most_frequent_trace_length,trace_length_frequency,atomization_conf,atomization_type,model_filename,queries_plan,operators_version,model_parsing_ms,model_size,model_data_decomposition_time,model_atomization_time,model_declare_to_ltlf,model_ltlf_query_time,is_multithreaded,no_threads,scheduling_strategy
data/bpic_2012/data/original/bpi12_knobab.xes,F,1343.35,270.347,13087,25,21,399.223,94351198835368,94351222283536,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.959279,7,0.034921,0.009376,0.140855,37.4432,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1054.58,375.322,13087,25,21,399.223,94351198835368,94351222283536,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.187455,7,0.029856,0.007973,0.158515,43.8487,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1060.01,381.817,13087,25,21,399.223,94351198835368,94351222283536,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.167369,7,0.029686,0.009008,0.208742,42.5898,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1042.58,250.387,13087,25,21,399.223,94351198835368,94351222283536,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.165916,7,0.03151,0.008628,0.155284,35.9123,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1043.22,262.71,13087,25,21,399.223,94351198835368,94351222283536,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.164925,7,0.027386,0.00822,0.149242,38.3661,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1140.19,258.923,13087,25,21,399.223,94757151216296,94757168803088,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.574987,7,0.030665,0.009293,0.136032,37.62,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1067.72,268.195,13087,25,21,399.223,94757151216296,94757168803088,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.167329,7,0.026971,0.008754,0.153508,37.2986,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1063.67,276.809,13087,25,21,399.223,94757151216296,94757168803088,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.169623,7,0.028573,0.009124,0.151483,38.6425,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1193.8,273.679,13087,25,21,399.223,94757151216296,94757168803088,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.169096,7,0.029538,0.008874,0.159228,39.5485,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1054.32,271.045,13087,25,21,399.223,94757151216296,94757168803088,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.166821,7,0.026875,0.008875,0.150606,37.5746,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1144.24,262.211,13087,25,21,399.223,94685193437864,94685228928272,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.748101,14,0.045533,0.017515,0.246124,127.905,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1065.7,255.937,13087,25,21,399.223,94685193437864,94685228928272,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.249898,14,0.044567,0.017911,0.31499,124.259,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1049.13,266.5,13087,25,21,399.223,94685193437864,94685228928272,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.245504,14,0.04344,0.018026,0.462904,118.105,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1049.8,267.085,13087,25,21,399.223,94685193437864,94685228928272,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.279788,14,0.042906,0.018145,0.285882,116.839,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1045.84,260.079,13087,25,21,399.223,94685193437864,94685228928272,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.252212,14,0.042685,0.017116,0.27775,117.595,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1136.91,336.2,13087,25,21,399.223,93912947679912,93912981028112,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.808531,14,0.048381,0.019466,0.254072,123.179,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1057.91,268.395,13087,25,21,399.223,93912947679912,93912981028112,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.252558,14,0.039958,0.01789,0.269178,116.235,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1045.77,263.945,13087,25,21,399.223,93912947679912,93912981028112,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.264318,14,0.041637,0.017769,0.275011,117.055,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1040.84,270.187,13087,25,21,399.223,93912947679912,93912981028112,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.25786,14,0.041257,0.017856,0.271068,118.107,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1049.74,274.272,13087,25,21,399.223,93912947679912,93912981028112,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.252983,14,0.042867,0.018871,0.278229,117.689,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1141.13,268.266,13087,25,21,399.223,94636407169704,94636442512656,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/15.powerdecl,marking,FastOperator_v1,0.907886,22,0.055596,0.030614,0.332925,172.119,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1049.05,285.826,13087,25,21,399.223,94636407169704,94636442512656,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/15.powerdecl,marking,FastOperator_v1,0.383537,22,0.05458,0.031364,0.407113,161.571,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1049.83,296.133,13087,25,21,399.223,94636407169704,94636442512656,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/15.powerdecl,marking,FastOperator_v1,0.382599,22,0.059379,0.032682,0.400938,176.573,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1056.33,329.833,13087,25,21,399.223,94636407169704,94636442512656,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/15.powerdecl,marking,FastOperator_v1,0.39642,22,0.053584,0.033552,0.430084,176.586,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1042.27,272.739,13087,25,21,399.223,94636407169704,94636442512656,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/15.powerdecl,marking,FastOperator_v1,0.374559,22,0.05365,0.03071,0.450154,169.683,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1136.86,253.764,13087,25,21,399.223,94757683102376,94757689793808,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/15.powerdecl,marking,FastOperator_v1,1.16167,22,0.052133,0.031406,0.333007,166.82,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1056.77,261.961,13087,25,21,399.223,94757683102376,94757689793808,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/15.powerdecl,marking,FastOperator_v1,0.385532,22,0.088036,0.036082,0.431016,159.005,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1044.58,267.372,13087,25,21,399.223,94757683102376,94757689793808,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/15.powerdecl,marking,FastOperator_v1,0.383168,22,0.055569,0.033785,0.403874,163.697,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1045.11,255.274,13087,25,21,399.223,94757683102376,94757689793808,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/15.powerdecl,marking,FastOperator_v1,0.517523,22,0.049179,0.031954,0.386672,159.788,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1039.38,272.853,13087,25,21,399.223,94757683102376,94757689793808,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/15.powerdecl,marking,FastOperator_v1,0.370987,22,0.049892,0.03286,0.394266,161.557,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1117.22,257.664,13087,25,21,399.223,94077172921000,94077178674448,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/20.powerdecl,marking,FastOperator_v1,1.04717,30,0.059898,0.040589,0.42206,206.421,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1033.45,259.61,13087,25,21,399.223,94077172921000,94077178674448,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/20.powerdecl,marking,FastOperator_v1,0.482276,30,0.057799,0.040881,0.500764,199.068,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1032.44,269.111,13087,25,21,399.223,94077172921000,94077178674448,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/20.powerdecl,marking,FastOperator_v1,0.488356,30,0.057042,0.091644,0.549179,203.771,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1027.42,270.734,13087,25,21,399.223,94077172921000,94077178674448,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/20.powerdecl,marking,FastOperator_v1,0.535885,30,0.059268,0.04198,0.504739,198.857,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1028.1,272.759,13087,25,21,399.223,94077172921000,94077178674448,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/20.powerdecl,marking,FastOperator_v1,0.49135,30,0.058335,0.04069,0.50303,205.923,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1135.22,255.783,13087,25,21,399.223,94854321517224,94854353423632,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/20.powerdecl,marking,FastOperator_v1,1.02883,30,0.059844,0.041334,0.416976,205.828,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1060.67,259.343,13087,25,21,399.223,94854321517224,94854353423632,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/20.powerdecl,marking,FastOperator_v1,0.545739,30,0.058625,0.041632,0.495259,206.069,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1049.44,271.798,13087,25,21,399.223,94854321517224,94854353423632,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/20.powerdecl,marking,FastOperator_v1,0.49886,30,0.093266,0.093275,0.525308,197.084,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1048.17,272.909,13087,25,21,399.223,94854321517224,94854353423632,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/20.powerdecl,marking,FastOperator_v1,0.491379,30,0.102726,0.066359,0.56461,206.078,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2012/data/original/bpi12_knobab.xes,F,1045.5,261.219,13087,25,21,399.223,94854321517224,94854353423632,scripts/maxsat_pipeline.yaml,AtomizeEverythingIfAnyDataPredicate,data/bpic_2012/models/scenario_1/20.powerdecl,marking,FastOperator_v1,0.494606,30,0.062879,0.044243,0.502751,201.865,No,1,BLOCK_STATIC_SCHEDULE
